Sample,EGFR,PDGFRA,PTEN,NF1,TP53,RB1,CDKN2A,CDKN2B,MDM2,MDM4,CDK4,CDK6,MET,PIK3CA,PIK3R1,PIK3CB,IDH1,IDH2,ATRX,CIC,FUBP1,NOTCH1,TERT,MGMT,OLIG2,GFAP,SOX2,NES,CD44,CHI3L1,VEGFA,MKI67,BCAN,DLL3,POSTN,SERPINE1,TIMP1,LGALS1,ANXA1,CASP8
HF1409,9.0506,6.1451,6.1221,7.6223,7.587,8.3151,6.5899,5.4377,6.5979,7.8558,10.8528,6.9633,7.5375,7.2589,9.1381,7.8022,8.8784,9.9086,8.7557,9.1385,8.0211,7.9153,6.6935,7.4962,5.771,10.8754,10.1447,9.4844,9.17,12.0123,10.4536,6.8901,7.0435,7.041,4.8581,8.726,11.7443,13.2446,9.7526,7.286
HF1442,9.2621,6.2791,7.2229,7.121,6.7523,7.9879,6.9483,6.6377,6.8139,7.7883,9.6549,6.3676,6.5634,7.4332,10.809,7.5615,8.932,10.3587,7.9641,9.4286,9.0177,9.2102,6.9215,7.0473,10.8902,10.4173,10.6225,8.4715,7.1194,6.8814,8.4452,6.9623,8.5398,8.9689,4.8912,6.3689,8.2406,10.8727,6.0828,6.3806
HF1458,11.0354,6.2372,7.3255,7.8465,8.7952,8.9715,9.9462,8.2306,10.4162,8.4193,14.0378,9.0611,6.844,7.3516,10.2712,7.593,8.4783,8.7063,8.9779,9.2963,8.986,8.6641,6.7389,6.5829,9.4304,10.2054,9.6179,9.9326,9.0413,12.8492,12.1667,7.9754,7.047,7.1464,7.9789,9.7227,12.8652,12.9971,8.651,7.1962
HF1469,10.1101,6.1329,6.7708,7.0647,7.8635,7.9576,6.8921,6.0498,6.6215,7.9708,10.1956,6.5638,7.5933,7.3689,10.5525,7.7493,8.8165,9.1795,7.8266,9.4948,8.4789,8.5301,6.6474,7.2712,9.7781,9.4694,9.5952,9.6291,7.0992,11.815,9.5507,7.3593,7.8135,7.35,5.9493,7.7573,11.0022,11.8057,8.1071,7.1096
HF1475,10.3421,6.4883,7.2462,8.1347,8.0417,8.3414,8.1753,7.2584,6.6251,8.3436,13.2778,6.4873,7.2525,8.157,11.3281,7.45,8.1668,9.5317,8.5715,9.5179,8.651,9.2839,7.1288,6.3466,11.3809,12.0688,10.4607,9.2535,8.2269,6.6422,8.3056,7.9219,8.7548,9.2083,4.9488,7.229,7.8592,10.148,7.6771,6.5133
HF1487,9.1217,6.0613,6.7964,7.0936,8.5951,8.3494,6.9509,6.8648,6.5507,7.9305,10.5776,6.5062,6.664,7.6194,10.2108,7.6701,8.6388,9.7264,8.1573,9.3089,8.6719,8.8121,6.753,7.4283,9.6194,9.5459,9.5522,9.4595,8.0047,9.8587,8.3919,7.3547,7.7049,7.7552,4.898,7.2364,9.8658,12.3717,7.4035,7.0121
HF1489,10.0086,6.6158,7.3011,7.8246,8.4042,8.3181,6.9508,6.7468,6.6504,8.2006,10.5728,6.7295,6.9708,8.39,11.5329,7.9016,8.4759,9.0777,8.8505,9.2933,7.6345,8.7999,6.7404,6.0055,11.4308,9.9822,10.1052,9.1871,7.6608,6.7722,8.344,7.364,8.5562,9.0954,4.9039,7.1794,7.548,10.0808,5.8212,6.1111
HF1490,10.7648,6.2129,6.6554,7.496,9.2743,9.0207,6.8244,5.6324,6.5841,8.465,10.8064,7.709,7.2225,7.9955,9.8831,7.2355,9.0504,9.8217,7.9233,9.5764,8.3105,8.9151,6.9333,7.1278,10.0718,11.1998,10.3589,10.0324,9.4397,13.3594,10.9274,7.4959,7.5098,7.2821,8.9925,8.8874,12.4591,12.8955,8.7135,7.1983
HF1492,8.5584,6.1081,7.0027,7.1112,6.9786,7.7922,6.8762,6.1053,6.6952,7.746,9.3148,6.4081,7.8147,7.8931,10.5235,7.9632,8.025,9.3701,8.849,9.7245,8.5374,8.1217,6.8908,6.9627,8.756,8.5179,9.1131,8.1614,7.1897,8.4465,8.1305,6.8094,7.9283,7.1676,5.1068,6.8789,9.5283,11.0048,6.9692,6.1522
HF1493,8.1008,6.6041,7.4638,8.0687,8.911,8.2217,7.1031,6.9409,6.7184,8.2286,10.8659,6.6768,6.9817,7.9652,10.8115,7.399,8.2013,8.393,9.4874,9.1626,6.6188,8.6371,6.9941,6.2519,10.9924,10.7862,10.5884,9.6647,7.6781,5.8533,9.3536,8.094,8.2992,7.9054,6.5763,8.0014,11.0901,11.2686,6.32,6.2676
HF1494,9.431,6.7069,7.0769,7.7667,9.0885,8.5452,8.727,6.9548,6.7023,8.1694,13.6541,7.0333,7.0602,7.0275,11.0857,7.3726,8.7764,9.4014,7.5205,9.5337,8.1209,8.8191,6.8259,6.8093,11.3419,10.6608,10.7385,9.8265,7.417,9.6582,8.5896,8.2348,7.7045,9.2431,5.1005,6.8645,10.1512,11.3955,5.7348,6.5059
HF1502,8.6085,6.1209,6.8933,7.1509,7.1647,7.7934,7.0304,6.3457,6.49,7.624,9.7286,6.3328,7.6139,7.9363,10.963,7.8799,8.0439,9.4983,8.0885,9.5807,7.9047,8.2175,7.0702,7.2566,9.0348,8.2709,8.5594,8.3545,6.7866,7.9308,8.499,7.1045,8.0318,7.1393,5.1174,7.3434,8.8026,11.395,6.2916,6.0364
HF1509,9.5718,5.9898,7.2452,6.9745,8.8925,8.4777,6.7338,5.717,7.3734,8.1301,11.0252,7.355,7.7502,8.8155,10.7008,7.4794,8.8998,9.7791,8.8747,9.2757,8.448,8.5442,6.9195,6.7891,9.9227,10.286,9.981,9.3466,10.1956,13.7488,10.6467,7.4599,7.2006,7.2825,6.5259,10.4708,13.1584,13.1514,9.1222,6.8617
HF1511,8.6172,6.057,7.4095,7.2159,7.5941,8.1909,6.7467,6.2569,6.4484,8.0841,9.9149,6.3771,7.6689,7.9033,10.6489,7.7468,8.7661,9.7281,8.4044,9.4804,8.5696,8.3526,6.6008,6.9775,10.0657,9.1822,9.7355,8.2059,7.7214,8.3947,8.3948,7.0859,7.9964,8.521,4.8231,7.5925,9.6836,11.0691,6.7677,6.3582
HF1517,11.6139,6.1655,7.2349,7.6802,9.0854,8.5572,6.831,8.5356,6.6846,7.9756,11.0676,8.1593,6.9059,6.8983,10.3165,7.7379,9.4538,9.5706,8.3489,9.6107,8.1319,8.5726,7.0756,6.3255,9.2861,10.9388,9.5967,10.3207,9.5008,12.9473,12.3586,7.9785,7.53,7.1367,7.6143,9.8379,12.679,13.6172,8.3463,7.0043
HF1534,9.8017,5.9984,6.934,7.2011,8.6576,8.0386,6.8607,5.6485,6.9603,8.1059,10.9428,6.0856,7.3399,8.2062,10.8507,7.3089,8.6473,8.9212,8.5877,9.5791,8.615,9.8599,6.727,7.1592,10.1779,12.2553,10.0438,9.4178,9.3592,13.4931,9.7266,6.9509,7.9022,7.1017,4.9519,9.4816,12.0484,12.0982,8.5895,7.1717
HF1538,10.2755,6.2501,7.1464,7.0496,7.8074,8.067,6.7843,5.7261,6.6941,7.918,10.3148,6.6223,7.827,7.3634,9.3721,7.7588,8.9255,9.1627,8.2198,9.2787,8.3009,8.4805,6.7164,6.2723,8.374,12.1478,9.0839,8.8503,9.6945,13.9572,12.5422,7.6026,7.2478,7.1585,7.3774,10.673,13.1178,13.0461,9.389,7.0381
HF1540,11.0579,6.2039,7.5409,7.3202,9.1274,8.7432,6.8533,6.1488,6.8401,8.1855,10.6307,7.5977,7.7565,8.2553,10.1559,7.4811,8.8348,8.5717,8.0589,9.8575,8.5391,8.508,6.8217,6.5394,8.7348,12.6431,9.6142,9.8084,11.4867,13.4909,12.4845,7.429,6.7362,7.0559,8.2648,9.6811,13.1116,13.5674,9.0616,7.188
HF1551,9.2374,6.3434,7.2338,7.4366,8.5047,8.3707,6.7864,6.3833,6.6457,8.4517,10.6153,6.4467,6.7245,8.05,10.9847,7.5987,8.9288,10.1558,8.6691,8.7663,8.6717,9.1508,6.8103,6.3887,11.2488,10.1723,10.0661,8.9676,8.0436,7.8338,8.297,6.9673,8.3946,9.413,4.8265,6.4016,8.3186,10.9126,6.3727,6.5987
HF1568,8.7931,6.2016,7.2747,7.1991,7.7477,8.4748,6.894,7.5342,6.6359,8.3427,9.9694,6.4787,6.9038,7.8453,10.9799,7.604,8.8333,9.7158,7.4073,9.2139,8.9049,9.0094,6.727,6.8225,10.733,10.7437,10.6577,8.6813,8.1459,6.6966,8.3399,6.9033,8.1524,8.3806,4.8605,6.8837,7.6281,10.4874,6.9147,6.2869
HF1581,9.3558,6.0884,6.9191,7.221,7.9502,7.4288,6.9986,7.0941,6.8825,7.9771,10.4853,6.2281,7.2663,7.2746,10.8036,7.5151,8.2757,10.3878,8.2719,9.6103,8.8511,9.3292,6.7683,6.7983,10.0105,11.5193,10.8614,8.922,8.7168,10.4371,8.5701,6.8056,8.2037,7.4449,4.9371,6.5962,11.0913,12.3713,8.7596,7.0998
HF1585,8.4923,6.202,7.2826,6.9597,7.823,8.0655,7.6019,7.1487,6.6714,7.8795,10.2544,6.356,7.4263,6.3945,10.3985,7.569,8.575,9.955,8.1221,9.6103,8.6891,7.9565,7.0619,6.8318,7.9027,12.3356,9.4928,8.79,9.8925,14.1941,11.2484,7.4474,7.3413,7.2327,4.9566,8.8731,12.5036,12.7114,8.2783,6.9549
HF1587,9.0927,6.0972,7.504,7.1094,7.9999,8.1804,6.8617,5.9294,6.5914,8.0981,10.4874,6.2679,7.3072,8.5103,11.2481,7.8847,8.7104,9.557,8.3531,9.0773,8.7384,8.7778,6.6417,6.5538,10.6105,8.0292,9.1761,8.8004,6.8769,6.7576,8.3795,6.9756,7.9861,8.5377,4.9987,7.7424,8.1411,10.6667,6.3359,6.1832
HF1588,10.2245,6.1717,7.0722,7.2146,7.8746,8.041,6.8873,6.6039,6.6909,8.3065,10.8169,6.8758,7.1813,7.5195,11.2256,7.3393,8.7056,9.1356,7.9789,8.8771,7.2785,8.8269,6.8591,6.5043,10.8249,9.6886,9.994,8.8966,6.7893,6.1229,8.3042,7.6704,8.0453,8.6049,5.0435,7.0854,9.4969,10.4584,5.8504,6.7493
HF1589,10.6781,6.0817,7.0984,7.2614,8.6885,8.5778,6.5023,5.4732,6.524,8.1842,10.7575,7.1589,7.1973,7.6349,10.2187,7.674,9.1454,9.2229,8.5864,9.1835,8.6933,8.6428,6.8376,7.0943,9.1547,11.636,10.2529,10.4033,10.0167,13.9593,12.6564,7.6239,7.3702,6.9183,8.3866,10.8437,13.0326,13.1978,8.9338,7.037
HF1606,8.8644,6.2249,7.0959,7.1185,8.0135,8.1791,7.052,6.8664,6.5625,7.783,10.246,6.656,6.8113,7.3397,10.6734,7.9423,8.9366,9.3066,7.6561,9.4265,9.0075,8.968,6.7239,6.8359,9.7306,10.5362,10.8434,8.998,8.533,7.7751,8.2314,6.7619,8.6724,8.5312,5.0713,6.5514,8.698,11.0336,6.4408,6.1163
HF1608,11.1788,6.3892,7.4054,7.4796,9.5439,8.8664,6.5437,5.6267,6.6941,8.3289,11.508,8.4184,7.6993,7.0803,9.6549,7.5052,10.1623,9.8715,8.6657,9.5881,8.6469,9.6096,6.8048,7.265,10.5196,11.9291,10.6136,9.804,10.8903,13.8822,10.2531,8.9511,8.2421,8.0392,5.0979,8.8665,12.5928,13.2713,8.9302,7.1894
HF1613,9.0745,6.1345,7.0523,7.2383,8.9958,8.1424,6.8234,6.871,6.6236,8.2116,11.1964,6.3437,6.7827,8.0225,11.3301,7.3881,8.7344,9.7342,8.0143,9.4894,8.7896,9.3995,6.7548,7.1084,11.0747,10.33,10.2397,9.5738,8.1224,5.6256,8.3015,6.9012,9.0804,8.8947,4.7908,7.9603,9.6457,11.5066,7.0184,6.0169
HF1618,10.9765,6.2563,7.1454,7.3496,9.0472,8.7123,6.8133,5.7495,6.7687,8.4939,12.7165,7.1588,6.7856,7.172,9.4301,7.4834,9.8759,9.2641,8.045,9.4667,8.7646,9.3509,6.7594,6.4197,9.5929,10.5039,10.9474,9.6917,10.0926,13.8428,12.8358,7.7967,7.2591,7.2923,5.8043,9.8457,13.1053,12.7131,9.2093,7.1331
HF1628,11.6961,6.3874,7.6643,7.2074,9.5498,8.938,6.8615,5.5644,6.6636,8.3543,11.2726,7.2675,6.4036,7.5632,10.5858,7.6251,10.0014,9.5785,8.1589,9.7119,8.973,9.0878,8.453,6.2869,10.3795,10.4582,11.0537,10.5708,8.2847,10.7285,11.0566,8.6467,7.72,8.0166,4.8378,9.0856,12.3726,12.8622,8.4047,6.8607
HF1640,8.4036,5.9875,6.7568,7.0944,6.4831,7.6355,7.4225,5.9614,6.8277,7.6664,9.2155,6.6031,7.8256,7.8209,10.8513,7.9431,7.5247,9.2762,8.1109,9.7636,7.8483,7.8193,7.0677,6.9623,8.3821,7.8223,8.9701,8.1033,6.8868,9.7991,8.786,7.0449,7.7642,7.2775,5.0863,7.5568,8.6471,11.0465,6.5614,6.239
HF1667,8.6752,6.2299,6.9175,7.1555,6.7017,7.712,7.0137,6.3225,6.628,7.626,9.5485,6.611,7.6214,7.4367,10.5533,7.7393,7.5533,9.375,8.1486,9.5476,8.3247,8.1032,6.9755,7.093,9.6085,9.2136,9.5168,8.2715,7.5693,11.2784,8.2875,6.9016,7.7567,7.2429,4.8223,8.3068,9.6827,11.0791,7.6405,6.2669
HF1671,8.156,6.5326,7.1779,6.9061,8.3428,8.3616,6.984,5.7847,6.963,7.6562,10.2908,6.3189,7.3246,6.964,10.1972,7.4899,9.0264,9.2869,7.5836,9.5735,8.7263,8.8018,7.1039,7.2718,9.2025,11.7063,9.7419,9.3509,7.9081,13.0382,10.0652,7.9952,8.0099,7.6056,5.2662,7.8496,11.7466,12.285,8.0845,6.9031
HF1677,9.9497,6.4595,7.1104,7.6854,8.0086,7.8106,7.0695,6.3329,6.8216,8.2463,10.396,6.8605,7.246,7.8766,11.1945,7.8411,8.494,9.2186,9.1269,9.0056,8.2507,9.025,6.8383,6.154,10.9607,9.8438,10.0086,8.7628,8.2607,7.4804,8.5564,7.3099,8.4839,8.9739,5.0479,6.8345,7.4932,10.7953,5.7998,6.4229
HF1702,8.2866,6.3096,6.8964,7.3045,7.8162,8.8463,6.5614,5.6038,6.656,8.2401,10.8909,6.5744,7.5959,7.3312,10.4054,7.2225,8.7637,10.2303,7.9627,9.0868,8.8024,8.8707,6.7345,6.2697,10.0797,12.1116,10.2441,9.2444,9.9867,13.1724,11.9451,7.8349,7.9905,7.9141,5.1263,8.3862,11.2664,12.5906,7.5722,7.0382
HF1708,8.5244,6.1493,7.7956,7.2388,7.0431,8.1188,6.6598,6.2971,6.7362,7.9392,9.9703,5.8362,6.5191,7.9899,9.8388,7.5954,7.8819,9.0952,8.7422,9.5379,8.6737,8.4423,6.7002,7.7467,7.7036,10.4729,8.8618,8.7841,9.2188,8.2195,8.5543,6.7771,8.1653,7.0969,4.9962,7.7941,10.3614,12.0413,5.8261,6.4505
