Sample,EGFR,PDGFRA,PTEN,NF1,TP53,RB1,CDKN2A,CDKN2B,MDM2,MDM4,CDK4,CDK6,MET,PIK3CA,PIK3R1,PIK3CB,IDH1,IDH2,ATRX,CIC,FUBP1,NOTCH1,TERT,MGMT,OLIG2,GFAP,SOX2,NES,CD44,CHI3L1,VEGFA,MKI67,BCAN,DLL3,POSTN,SERPINE1,TIMP1,LGALS1,ANXA1,CASP8
GSM405309,5.0713,5.0377,6.8304,4.8986,6.7573,7.9779,4.4811,9.2639,5.373,7.999,11.3399,5.492,4.9138,7.1187,9.4527,6.6054,11.4272,8.563,8.0922,8.5823,7.3342,7.5154,5.3765,6.2201,9.5336,9.2283,7.8903,8.8145,7.5789,13.5187,7.4803,6.7703,9.7017,6.3506,7.8873,9.3606,13.9987,13.1395,7.0381,5.3735
GSM405310,7.2395,5.4503,7.2521,5.7558,5.8403,7.3851,4.8737,4.5758,5.594,8.7009,10.0106,4.9706,4.6787,8.6761,11.6912,7.6981,10.1193,7.2811,8.934,7.8268,6.9352,7.9096,5.2168,5.6474,9.6553,9.9434,10.1074,7.619,5.6677,4.6436,8.0763,4.8184,10.3412,7.2498,3.8572,6.1782,9.9121,9.9027,6.2223,4.4577
GSM405311,7.89,4.6355,6.9634,5.8694,6.1032,7.7934,5.2544,6.0716,4.8853,8.6809,10.1368,5.1284,5.2787,7.887,10.8123,7.3391,9.7601,9.4869,7.1402,7.879,8.1518,7.6232,5.2755,6.6554,9.1517,10.1173,10.0449,7.7506,7.3351,5.2779,6.4116,5.4505,10.7292,7.2956,3.9446,5.6782,7.4168,10.9548,5.9227,4.984
GSM405312,10.5353,4.5861,6.6014,5.5484,6.4075,8.0206,4.6247,4.1266,5.0111,8.1856,10.4221,5.7175,5.7768,8.8193,10.3918,7.2333,11.2677,8.7268,7.9159,8.2537,7.6103,7.3976,5.2629,5.461,9.338,11.0775,9.6283,8.691,7.5973,11.4029,11.2563,6.9319,8.7581,6.5081,8.0931,7.933,12.2908,12.8419,6.9625,4.5826
GSM405313,6.1779,5.0172,7.4198,5.7443,6.3488,8.3584,6.943,6.6518,4.9,8.1457,10.0172,4.8737,5.5612,7.5453,9.8985,6.893,10.6704,8.4624,8.0756,8.0804,7.9462,7.1903,4.9327,7.4989,8.5228,11.7935,8.8588,9.6189,8.9143,11.7872,8.1124,5.1333,8.7474,6.8995,3.7866,11.0894,10.1649,11.957,8.202,5.0305
GSM405314,5.4408,4.8344,7.2322,5.6924,6.812,8.1834,8.3904,6.1077,5.1984,7.8552,13.2846,5.9125,5.8369,7.2535,10.1193,7.3737,10.8632,8.1025,9.478,7.4219,7.8197,7.3516,4.8057,7.6059,8.8351,11.0737,9.6932,9.4304,8.802,13.3868,11.2801,6.7478,9.0501,7.0682,6.1394,8.6221,12.8373,12.7714,8.2122,5.9524
GSM405315,6.2321,4.5089,6.8364,5.7004,5.5703,7.3418,4.7291,4.2343,4.7202,7.345,9.0122,5.2234,7.0764,7.8386,10.8855,7.7653,8.8916,8.4933,8.9524,8.6764,7.5184,6.6206,5.4601,6.8309,8.4272,8.5697,8.6413,6.8699,6.0564,10.3234,8.0312,5.4414,8.4069,6.1905,4.051,6.5129,11.1671,11.2028,6.4108,4.9394
GSM405316,6.6679,8.152,6.9227,5.7457,7.384,7.6892,8.8738,6.4118,5.1851,8.2691,14.3617,7.0734,5.7863,7.6459,9.157,6.4328,11.3224,8.9372,8.1812,7.4293,8.1729,8.0374,5.1846,6.0702,9.3339,10.2223,10.7655,7.794,7.8618,10.5532,9.1105,8.0556,9.7072,7.7372,4.6779,7.2363,10.3474,10.9691,6.6476,4.5593
GSM405317,5.1371,4.5025,7.87,5.5286,6.059,8.3356,4.9417,4.4851,5.4139,8.3382,10.7345,7.05,5.8962,7.6968,10.1298,7.5629,11.3218,7.9621,9.1506,8.251,7.9031,7.1122,4.8737,6.9616,7.805,10.0788,8.9948,10.1377,8.7284,12.7212,10.6739,6.914,8.1236,5.9323,7.0787,8.6932,12.8362,13.503,7.8113,5.1956
GSM405318,7.998,4.785,7.198,5.9144,6.5599,7.7917,4.9126,6.1827,5.2241,7.6936,10.874,4.8959,4.5631,8.2079,11.5785,7.3856,10.777,7.66,8.606,7.9951,7.7748,8.0198,5.6461,6.0807,10.7491,7.3983,10.2823,8.3912,8.119,4.7958,8.8327,5.5243,11.4379,7.9466,4.5258,6.4235,10.2075,10.7373,6.1093,4.7291
GSM405319,6.0817,4.4481,7.1759,5.8606,6.6202,7.9881,4.9069,5.9833,5.2335,8.6743,10.8153,4.8168,4.7419,8.2037,11.3431,7.2267,10.5132,7.0372,9.1759,7.8815,8.0555,7.6907,5.5113,7.0342,10.1546,8.4576,9.4405,7.5613,5.1461,4.4382,9.4896,5.9368,10.9962,7.1651,5.2677,5.8911,10.1512,11.1604,6.3607,4.4982
GSM405320,6.3977,4.6355,6.9663,5.3713,6.3147,7.9872,4.5131,4.2824,5.0637,7.5356,10.6904,5.6602,6.3333,7.2589,9.9412,7.1458,11.2321,8.2295,8.3847,7.7955,7.7576,6.9727,5.1733,6.7805,7.5805,11.6778,9.5963,8.6744,9.8727,12.7381,9.0666,5.4803,8.245,6.1906,5.0075,7.5644,12.4273,12.461,8.8253,5.2276
GSM405321,7.3169,5.1482,6.7899,5.9174,6.3193,8.1185,6.4909,6.4206,5.0368,8.6011,10.6616,5.1495,4.6928,7.7514,10.2737,7.7096,10.8536,8.4586,7.857,7.9365,7.912,7.6161,5.002,6.5681,10.3748,11.9722,9.717,7.9633,9.4382,6.214,6.9298,5.9507,10.0905,7.7778,3.6723,6.6958,8.9526,10.6941,6.3855,4.9828
GSM405322,6.0314,5.4311,7.5612,5.3534,5.9015,8.4165,4.5491,4.9377,6.1759,7.3946,10.3525,6.0107,6.4945,7.445,9.78,7.396,11.1955,7.4377,9.0351,8.0154,7.1278,7.3515,5.1885,7.1525,7.4184,10.6384,8.4874,9.9234,9.1576,13.6896,11.4824,5.6881,7.2259,5.7192,7.1782,10.421,13.3526,13.6055,8.4935,5.5408
GSM405323,9.6549,4.4654,6.7854,5.5362,6.8562,8.7679,4.878,4.253,5.0915,8.0905,10.7617,5.9378,4.48,7.2871,10.5036,6.7505,10.3717,8.5708,8.9466,8.6565,8.675,7.2377,5.2041,6.4536,8.7982,11.0052,9.9879,9.9177,7.26,12.9498,11.5328,6.9738,10.3663,6.1943,6.1011,7.5589,12.7797,12.8523,7.5963,5.1131
GSM405324,9.9126,4.8058,8.0684,5.4594,4.7982,8.1974,4.7661,4.5084,5.3262,7.4884,10.8162,5.6837,6.2884,10.2008,10.442,6.7621,11.3467,8.576,8.7097,7.8207,7.7611,6.5848,4.6317,7.2708,4.6689,12.3613,8.7442,8.7668,10.4136,13.9479,8.1395,6.9955,6.7234,5.4281,6.4126,8.0103,13.9368,14.1071,8.0847,5.9966
GSM405325,6.4941,4.6398,6.8666,5.5233,6.1513,8.2031,4.6575,4.201,4.9985,8.6719,10.7733,5.2955,5.1355,7.3814,10.138,7.5211,10.2792,9.2165,6.6883,8.2818,8.021,7.9739,5.2862,7.0324,8.29,13.249,9.4313,7.274,8.8385,6.8898,8.6853,6.0528,10.5173,6.2783,3.939,6.4533,11.057,10.6403,7.8512,4.8927
GSM405326,11.5211,4.5571,6.8667,5.6898,7.1408,8.2467,4.6208,4.4832,5.28,8.0681,10.7509,5.1367,5.7911,7.5306,10.3276,6.8777,10.5914,8.6381,7.9085,8.3769,7.4461,7.7143,5.2779,6.8807,8.8189,10.971,9.8923,9.6161,7.7059,6.453,11.5027,7.3041,10.3755,6.6071,7.4835,8.1701,13.0488,13.2315,8.7627,5.2297
